Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 11/7/2023 4:28:38 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Male,Age01_04,[1-4],20.00000000,95.23809524,,588.23529412,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Male,Age00,[0],41.00000000,93.18181818,,4555.55555560,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age01_04,[1-4],71.00000000,91.02564103,,959.45945946,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Male,Age01_04,[1-4],15.00000000,83.33333333,,405.40540541,
EU,Europe,ALB,Albania,1988,Male,Age00,[0],720.00000000,59.06480722,,1670.53364270,
EU,Europe,ALB,Albania,1989,All,Age01_04,[1-4],596.00000000,51.64644714,,201.41939845,
EU,Europe,ALB,Albania,1992,All,Age01_04,[1-4],407.00000000,46.51428571,,138.52961198,
EU,Europe,ALB,Albania,1992,Male,Age00,[0],811.00000000,56.67365479,,2047.97979800,
EU,Europe,ALB,Albania,1993,Male,Age00,[0],737.00000000,59.72447326,,2081.92090400,
EU,Europe,ALB,Albania,1999,All,Age00,[0],464.00000000,71.16564417,,758.16993464,
EU,Europe,ALB,Albania,1999,All,Age01_04,[1-4],148.00000000,36.18581907,,52.38938053,
EU,Europe,ALB,Albania,1999,Male,Age01_04,[1-4],85.00000000,37.28070175,,58.82352941,
EU,Europe,ALB,Albania,1999,Female,Age01_04,[1-4],63.00000000,34.80662983,,45.65217391,
EU,Europe,ALB,Albania,2000,All,Age01_04,[1-4],120.00000000,34.98542274,,45.95940253,
EU,Europe,ALB,Albania,2001,Female,Age00,[0],135.00000000,54.00000000,,539.35277667,
EU,Europe,ALB,Albania,2006,Female,Age00,[0],44.00000000,34.64566929,,245.13900496,
EU,Europe,ALB,Albania,2006,Female,Age01_04,[1-4],8.00000000,13.79310345,,9.66755689,
EU,Europe,ALB,Albania,2009,Female,Age00,[0],40.00000000,45.97701149,,241.12363614,
EU,Europe,ALB,Albania,2009,Female,Age01_04,[1-4],8.00000000,21.62162162,,11.53818418,
EU,Europe,ALB,Albania,2008,All,Age01_04,[1-4],8.00000000,9.75609756,,5.16498912,
EU,Europe,ALB,Albania,1988,All,Age01_04,[1-4],534.00000000,47.76386404,,183.06479260,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age00,[0],12.00000000,70.58823529,,1267.15945090,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age01_04,[1-4],6.00000000,46.15384615,,78.44162636,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age01_04,[1-4],2.00000000,100.00000000,,53.73455132,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age00,[0],72.00000000,90.00000000,,3600.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Male,Age01_04,[1-4],2.00000000,50.00000000,,52.63157895,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age00,[0],11.00000000,73.33333333,,600.10911075,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age01_04,[1-4],2.00000000,33.33333333,,52.13764338,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Male,Age00,[0],19.00000000,90.47619048,,2201.62224800,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Female,Age00,[0],20.00000000,90.90909091,,2392.34449760,
EU,Europe,ALB,Albania,2000,Female,Age01_04,[1-4],48.00000000,31.78807947,,39.11980440,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age01_04,[1-4],2.00000000,28.57142857,,29.96254682,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Male,Age00,[0],20.00000000,86.95652174,,2366.86390530,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age00,[0],18.00000000,81.81818182,,2197.80219780,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age00,[0],38.00000000,90.47619048,,3800.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age01_04,[1-4],3.00000000,42.85714286,,45.77357339,
EU,Europe,ALB,Albania,1994,All,Age01_04,[1-4],382.00000000,46.75642595,,135.31703861,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Male,Age01_04,[1-4],1.00000000,100.00000000,,33.44481605,
EU,Europe,ALB,Albania,1987,Male,Age01_04,[1-4],329.00000000,52.30524642,,220.50938338,
EU,Europe,ALB,Albania,1988,Female,Age01_04,[1-4],278.00000000,49.91023339,,199.28315412,
EU,Europe,ALB,Albania,1988,Female,Age00,[0],539.00000000,51.43129771,,1378.51662400,
EU,Europe,ALB,Albania,1987,All,Age01_04,[1-4],656.00000000,53.11740891,,229.37062937,
EU,Europe,ALB,Albania,1987,All,Age00,[0],1421.00000000,57.78771858,,1763.02729530,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Male,Age00,[0],46.00000000,95.83333333,,5111.11111110,
